Unix_Timestamp,Messung,AP1,AP2,AP3,AP4,AP5,AP6
1729692430285,25,22.234,10.378,17.671,17.726,14.976,26.691
1729692431046,25,22.292,10.308,17.769,17.359,15.035,26.628
1729692431808,25,22.492,10.128,15.453,17.292,15.117,26.57
1729692432579,25,22.539,10.136,17.914,17.285,15.273,26.652
1729692433428,25,22.261,10.148,17.777,17.363,15.164,26.578
1729692434181,25,22.386,10.488,17.785,17.445,14.968,26.73
1729692434947,25,22.328,10.414,17.773,17.398,15.179,26.664
1729692435723,25,22.429,11.078,17.82,17.324,15.089,26.574
1729692436473,25,22.23,10.742,17.816,17.328,15.148,26.742
1729692437222,25,22.296,10.449,17.816,17.335,15.019,26.453
1729692437992,25,22.312,10.316,17.671,17.343,15.05,26.699
1729692438761,25,22.39,10.226,17.8,17.441,15.007,26.515
1729692439520,25,22.238,10.335,17.835,17.32,14.945,26.558
1729692440286,25,22.269,10.441,14.0,17.437,15.031,26.777
1729692441050,25,22.304,10.425,17.906,17.355,15.07,26.367
1729692441809,25,22.515,10.929,17.937,17.339,inf,26.621
1729692442568,25,22.32,10.636,17.902,17.347,15.027,26.703
1729692443338,25,22.222,10.117,17.816,17.441,15.121,26.496
1729692444101,25,22.312,10.726,13.902,17.371,15.105,26.554
1729692444869,25,22.382,10.566,17.828,17.339,15.152,26.496
1729692445679,25,22.207,10.574,17.761,17.382,15.101,26.835
1729692446451,25,22.371,10.253,17.89,17.382,inf,26.546
1729692447221,25,22.191,10.414,17.812,17.433,15.171,26.667
1729692447989,25,22.292,10.441,17.96,17.304,16.253,26.675
1729692448833,25,22.3,10.57,17.812,17.429,15.011,26.781
1729692449603,25,22.347,10.5,17.875,17.605,15.218,26.726
1729692450373,25,22.289,10.132,17.976,17.371,15.003,26.609
1729692451147,25,22.316,10.585,17.8,17.339,15.062,26.644
1729692452000,25,22.351,10.265,18.019,17.363,15.097,26.722
1729692452771,25,22.402,10.324,17.863,17.375,15.109,26.679
1729692453539,25,22.226,inf,17.902,17.449,15.128,26.628
